00A,80,80,H1,,,,,
00AK,2500,70,N,,,S,,
00AL,2300,200,1,,,19,,
00AR,40,40,H1,,,H1,,
00AS,1450,60,1,,,19,,
00AZ,1700,60,15,,,33,,
00CA,6000,80,4,,50,22,,
00CO,3900,20,16,,,34,,
00FA,3200,100,8,,,26,,
00FD,74,74,H1,,,,,
00FL,4090,100,12,,,30,,
00GA,2600,80,9,,,27,,
00GE,125,95,H1,,,,,
00HI,1155,45,H1,,,,,
00ID,3300,40,8,,,26,,
00ID,2700,40,11,,,29,,
00IL,2500,75,18,,,36,,
00IN,40,40,H1,,,,,
00IS,1600,70,9,,,24,,
00KS,2600,85,17,,,35,,
00KY,2100,100,1,,,19,,
00LA,40,40,H1,,,,,
00LL,25,25,H1,,,,,
00LS,2600,100,18,,,36,,
00MD,1700,75,14,,,32,,
00MI,100,100,H1,,,,,
00MN,2949,200,6,,,24,,
00MO,2400,25,8,,,26,,
00N,1900,150,18,,,36,,
00NC,2650,36,5,,,23,,
00NJ,50,50,H1,,,,,
00NY,2350,80,3,,,21,,
00OH,2695,90,8,,,26,,
00OI,42,42,H1,,,,,
00OK,2200,60,17,,,35,,
00PA,80,80,H1,,,,,
00PN,500,75,12,,,30,,
00PS,3100,100,8,,,26,,
00S,2600,90,6,,,24,,
00SC,2900,100,8,,,26,,
00SD,2400,50,18,,,36,,
00TA,85,85,H1,,,,,
00TE,48,48,H1,,,,,
00TN,1800,150,9,,,27,,
00TS,1200,45,1,,,19,,
00TX,50,50,H1,,,,,
00VA,1300,100,1,,,19,,270
00VI,1500,50,9,,,27,,
00W,3400,50,14,,,32,,
00WA,1105,70,8,,,26,,
00WI,1000,60,9,,87.2,27,,
00WN,1440,50,5,,,23,,
00WV,1800,100,5,,,23,,
00XS,1475,75,17,,,35,,
01A,1175,40,8,,,26,,
01AK,40,40,H1,,,,,
01AL,2500,160,N,,,S,,
01AR,55,55,H1,,,,,
01AZ,210,150,H1,,,,,
01C,2517,120,9,815,,27,815,
01CA,20,20,H1,,,,,
01CL,3100,50,9,,,27,,
01CN,60,60,H1,,,,,
01CO,125,40,H1,,,,,
01CT,70,70,H1,,,,,
01FA,2000,100,10,,,28,,
01FA,1500,100,18,,,36,,
01FD,110,110,H1,,,,,
01FL,3000,50,18,,,36,,
01GA,65,65,H1,,,,,
01GE,2560,75,10,,,28,,
01IA,2575,50,17,,,35,,
01ID,2894,100,14,,,32,,
01IL,416,216,H1,,,,,
01IN,45,45,H1,,,,,
01IS,1300,100,9,,,27,,
01J,3365,125,18,59,,36,59,
